"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"11" 1 1 5 2 1 1 2 2 1 1 2 3 2 2 2 2 2 2 2 2 3 4 4 2 4 3 1 5 2 4 3 2 3 3 3 4 0 0 0 53 5 58 73 0 50 55 0 19 44 1 10 62 48 58 51 63 63 62 6 55 56 61 59 87 63 69 36 49 64 52 50 24 54 54 2 1 1 1 1 3 2 5 4 4 4 1 3 2 2 3 3 3 4 4 3 3 4 4 2 3 2 3 0 1 0 0 0
"12" 1 2 5 1 2 1 4 2 1 1 2 2 2 3 1 5 1 5 1 1 2 5 5 2 3 2 2 3 1 1 2 2 1 4 4 1 20 50 15 0 50 70 30 70 10 40 50 10 0 0 70 20 50 20 15 80 90 30 90 85 20 20 40 85 50 60 15 0 70 0 85 0 85 15 2 0 1 1 0 2 4 5 5 5 3 2 1 2 2 1 5 5 1 3 3 1 2 2 3 5 5 5 0 1 0 0 0
"13" 2 5 4 4 3 4 5 4 5 4 5 5 5 5 4 4 3 3 2 3 3 3 7 3 3 3 3 3 3 3 3 3 3 3 3 3 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 100 50 50 50 50 50 50 50 50 50 50 50 3 0 0 0 0 2 3 1 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 3 3 1 0 0 0 0
"14" 3 2 3 4 3 3 1 4 3 3 4 4 4 4 4 1 2 3 2 2 3 3 4 3 3 4 1 3 3 3 2 3 3 3 3 3 29 0 0 98 7 59 80 98 99 100 0 0 41 0 52 56 14 100 96 98 39 98 60 38 100 69 100 13 100 100 100 91 36 52 45 3 42 58 3 0 0 0 0 2 3 2 3 3 3 2 2 3 3 3 4 2 2 2 2 5 4 5 3 5 3 3 0 0 0 1 0
"15" 3 1 4 3 2 1 2 1 1 2 4 1 1 4 4 1 2 1 1 2 3 4 2 4 5 5 1 5 3 5 2 3 4 1 2 2 1 0 0 6 63 2 80 0 65 33 0 1 46 0 7 41 11 52 63 52 70 37 5 87 93 90 41 42 51 58 62 52 66 3 14 1 7 22 2 1 1 1 1 3 3 2 2 4 5 1 3 2 2 4 2 2 4 5 2 3 4 4 2 4 2 3 1 0 0 0 0
"16" 3 2 3 1 1 2 5 3 1 1 3 3 3 3 1 2 2 3 2 1 2 4 6 3 2 1 1 2 2 1 3 3 3 3 4 5 11 7 16 7 52 82 10 45 56 11 11 60 11 21 57 49 58 55 11 93 92 79 61 91 11 52 53 100 52 95 10 2 57 53 53 55 56 54 1 1 0 1 1 3 3 6 5 1 1 1 1 2 1 1 5 3 2 5 2 2 2 3 4 2 4 5 0 0 1 0 0
"17" 3 2 4 1 2 1 4 3 1 2 2 3 2 3 2 1 2 2 2 2 3 4 4 3 2 3 1 2 2 2 3 2 2 2 2 3 60 53 14 54 53 60 74 19 73 38 65 31 66 67 65 51 79 83 52 100 38 61 80 50 80 79 54 81 38 45 59 48 61 7 16 19 10 36 2 1 0 1 1 1 3 4 2 2 3 1 2 2 2 3 2 3 2 3 3 2 2 4 2 4 4 3 0 1 0 0 0
"18" 2 2 4 3 3 3 2 2 1 2 1 2 2 1 4 2 2 3 2 1 2 4 3 4 5 5 1 5 3 5 1 1 4 1 2 3 1 1 1 63 51 67 70 1 85 51 1 1 33 3 21 60 50 86 54 85 74 85 1 53 99 72 88 80 87 90 51 54 90 75 41 1 64 55 1 1 1 0 0 3 4 3 2 3 3 1 3 3 2 4 2 3 4 3 4 3 3 4 2 5 2 4 0 0 1 0 0
"19" 2 5 4 3 2 1 1 1 2 2 2 2 3 3 4 3 3 3 1 5 5 3 1 4 5 4 1 5 3 3 3 2 5 1 3 3 0 0 0 86 61 0 59 0 100 100 0 0 0 0 0 0 0 100 100 0 0 0 0 0 0 0 100 0 67 89 100 100 76 49 0 0 0 72 1 0 0 0 0 3 5 1 3 5 5 1 3 3 3 5 1 3 5 5 1 5 4 5 4 2 1 1 1 0 0 0 0
"20" 2 3 4 2 2 1 1 3 2 2 3 3 3 3 2 3 3 3 2 3 4 3 4 3 5 4 2 5 3 3 3 3 3 3 3 3 20 10 7 50 40 45 50 40 55 55 10 10 45 10 40 40 40 55 50 50 50 50 40 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 3 1 1 1 1 2 3 4 3 3 3 2 2 2 2 3 2 3 4 5 3 3 4 4 3 3 3 5 0 1 0 0 0
"21" 1 1 4 1 3 2 4 3 2 1 2 1 5 4 1 2 1 5 1 1 2 4 7 4 4 2 2 5 2 1 3 3 2 4 4 2 33 1 15 17 51 55 54 52 52 52 16 30 23 1 53 45 55 74 54 86 76 42 59 67 17 54 55 73 85 52 32 53 63 53 62 0 71 55 3 0 1 1 1 3 3 4 5 1 1 2 2 2 2 2 5 5 3 4 2 3 2 2 3 3 5 5 0 1 0 0 0
"22" 2 1 2 1 2 1 4 2 1 2 3 3 2 2 1 4 1 5 1 2 3 4 6 2 5 3 2 5 1 1 5 2 2 3 3 3 0 0 0 54 50 61 86 95 0 50 0 0 13 0 0 60 0 0 0 50 70 0 51 93 93 0 60 52 58 50 5 0 66 64 60 1 73 5 1 1 1 1 0 2 1 2 5 5 5 2 3 2 2 2 4 2 3 4 3 1 2 4 4 5 3 5 1 0 0 0 0
"23" 1 3 3 4 2 1 2 2 1 1 1 3 2 2 2 2 2 2 3 2 3 3 5 4 5 5 1 3 3 3 3 2 5 1 2 3 50 0 0 85 0 80 50 95 50 100 0 40 60 50 80 95 60 70 50 95 65 85 50 70 75 80 72 65 89 65 50 50 65 70 45 40 50 85 1 0 1 0 0 2 3 4 4 1 1 1 2 3 2 5 2 3 5 5 2 2 5 4 1 5 3 5 0 0 0 1 0
"24" 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 4 1 1 3 4 4 1 4 2 1 5 1 1 4 1 1 1 1 1 0 0 0 96 100 16 82 1 100 96 0 0 55 0 6 93 78 100 100 100 92 96 0 76 54 62 83 100 77 100 54 100 100 52 100 0 100 64 1 1 1 1 1 3 3 1 2 3 3 2 1 1 2 1 1 3 1 5 3 1 2 3 2 5 3 5 1 0 0 0 0
"25" 3 1 5 5 2 1 1 1 2 3 2 2 1 4 3 3 3 4 1 3 5 3 3 3 5 5 3 5 4 5 2 3 5 1 2 3 0 0 0 80 65 0 90 15 100 85 0 0 75 55 0 95 10 100 90 50 10 55 0 70 75 75 85 50 85 85 90 95 85 60 30 0 40 60 3 1 1 1 1 3 5 2 2 5 5 1 3 3 2 4 1 2 5 5 5 3 5 5 2 5 1 5 1 0 0 0 0
"26" 3 2 3 2 2 1 5 5 3 4 5 5 5 5 2 5 1 5 2 1 3 4 5 1 1 3 1 1 1 1 5 5 5 1 4 4 2 1 36 1 2 62 2 47 1 3 3 11 2 1 3 9 3 3 1 49 59 2 55 57 2 1 18 53 0 57 2 1 2 9 44 1 13 19 2 1 0 0 0 3 5 7 5 1 1 2 1 2 2 1 5 5 1 4 2 2 1 1 3 5 5 5 0 0 0 0 1
