"IID" "secure_parents" "partic_vote" "partic_protest" "imp_immig" "imp_jobs" "imp_costliv" "imp_climate" "imp_abort" "imp_gun" "imp_crime" "imp_gaza" "imp_antisem" "imp_votright" "imp_ukraine" "imp_schteach" "imp_islamop" "highered_bias" "highered_approve" "secular_reason" "police_safe" "police_confid" "police_number" "crime_selfplc" "treatcrime_theft" "treatcrime_marij" "treatcrime_camp" "treatcrime_firearm" "treatcrime_abort" "border_patrol" "border_milit" "border_legal" "aid_ukraine" "aid_israel" "aid_palest" "prej_muslims" "prej_jews" "group_fascists" "group_kkk" "group_nazi" "group_blm" "group_atheists" "group_prolife" "group_prochoice" "group_gunrights" "group_lgbtrights" "group_feminists" "group_whitesup" "group_antigay" "group_socialist" "group_antifa" "group_christfund" "group_laborun" "group_bigbus" "group_gayles" "group_transppl" "group_christians" "group_police" "group_journal" "group_nra" "group_ruralam" "group_planparent" "group_colprofs" "group_black" "group_white" "group_hispanic" "group_asian" "group_transmen" "group_transwom" "group_jews" "group_muslims" "foreign_israel" "foreign_hamas" "foreign_israelis" "foreign_palest" "tol_freespeech" "disqual_felon" "disqual_bribe" "disqual_docs" "disqual_sexhar" "felonserve_fedoff" "empsat_paidoff" "abrtpre_abrtself" "trans_health" "trans_sportgirl" "trans_sportboy" "raceadvt_white" "raceadvt_black" "raceadvt_hispanic" "raceadvt_asian" "resent_workway" "resent_genertns" "resent_deserve" "resent_tryhard" "sexism_bprotect" "sexism_bdiff" "sexism_bhetero" "sexism_hinnoc" "sexism_hpower" "empath_concern" "empath_perspect" "school_racism" "school_gender" "abrtpre_standard.By law, a woman should always be able to obtain an abortion as a matter of perso" "abrtpre_standard.The law should permit abortion for reasons other than rape," "abrtpre_standard.Other" "abrtpre_standard.The law should permit abortion only in case of rape, incest, or when the woman's" "abrtpre_standard.By law, abortion should never be permitted."
"351" 3 1 6 3 2 1 2 4 2 2 3 3 3 3 3 3 3 2 2 2 2 3 3 3 5 5 2 5 3 4 3 4 4 4 3 3 14 11 13 65 53 54 52 28 50 61 35 53 74 10 71 82 39 51 50 80 68 76 55 86 72 89 70 71 70 78 52 52 87 54 78 10 80 51 2 1 1 1 1 3 5 1 4 2 2 1 3 3 3 4 2 2 5 4 4 2 5 5 4 5 3 5 1 0 0 0 0
"352" 2 1 4 1 3 1 5 4 1 1 2 1 5 4 1 5 1 5 2 3 2 5 7 1 5 1 1 5 1 1 3 2 5 5 3 2 2 0 0 0 51 100 64 100 3 64 4 3 4 4 58 4 54 50 51 100 81 14 91 95 2 9 100 100 100 35 31 42 100 80 100 2 100 4 1 1 1 1 1 3 2 6 5 1 1 2 2 2 2 1 5 4 1 4 4 1 3 2 4 5 4 5 0 0 0 1 0
"353" 2 3 6 1 2 2 3 3 2 1 2 1 3 1 3 3 1 3 2 3 3 3 7 2 2 2 2 2 1 1 2 1 1 3 3 2 1 0 0 3 42 45 11 50 15 7 49 16 4 1 32 15 50 39 0 51 51 54 50 40 40 58 50 49 50 50 2 1 70 51 86 0 70 15 3 0 0 0 0 2 3 1 3 3 3 2 2 2 2 3 3 3 3 2 2 2 3 3 5 5 4 4 1 0 0 0 0
"354" 3 3 4 1 1 1 5 5 1 1 1 3 1 5 1 5 1 3 2 1 2 3 4 3 5 3 3 3 1 3 4 5 2 3 5 5 0 0 0 0 0 0 0 100 0 0 0 0 47 0 64 50 26 60 0 100 77 18 100 100 0 52 85 100 100 56 0 0 64 26 100 0 100 0 3 0 1 1 0 2 5 4 3 3 3 2 2 2 2 3 3 3 3 3 3 3 3 3 4 4 3 3 0 0 0 1 0
"355" 2 3 3 4 3 2 4 3 2 4 4 2 3 2 3 2 4 3 1 2 3 3 4 2 3 3 4 3 3 4 3 4 2 3 2 3 48 48 65 24 71 61 25 40 8 49 54 62 58 54 49 50 48 59 71 77 57 55 79 54 63 51 55 90 61 51 63 45 54 50 63 51 62 54 3 0 0 0 0 3 3 4 3 2 4 2 2 3 2 3 2 3 3 4 3 3 3 2 2 3 3 3 0 0 0 1 0
"356" 2 1 4 4 3 3 1 4 2 3 1 1 2 1 2 3 3 5 2 3 3 3 4 3 5 5 1 5 3 3 4 1 1 5 3 2 3 0 0 28 40 50 51 9 51 11 0 9 14 19 16 4 31 50 50 40 41 50 9 48 30 51 51 51 51 50 49 51 50 49 51 0 51 18 3 1 1 1 1 2 3 3 5 5 5 1 3 2 2 3 3 2 4 3 3 2 3 4 4 4 3 4 0 0 0 1 0
"357" 3 1 4 3 3 2 3 1 3 2 3 2 3 3 3 3 2 3 1 2 2 4 4 4 5 4 2 5 3 4 3 3 3 3 3 4 0 0 0 65 100 0 100 48 88 50 0 0 2 0 0 56 10 90 85 0 50 27 39 76 100 50 84 71 80 90 75 81 85 66 50 50 50 50 3 0 1 1 0 2 4 2 4 3 3 2 2 2 2 2 4 3 3 3 3 3 3 5 4 5 4 4 0 0 1 0 0
"358" 2 1 5 3 1 1 2 3 3 2 2 2 1 2 3 2 2 3 2 1 1 4 3 3 5 4 2 5 3 4 4 2 3 1 2 2 0 0 0 79 84 64 72 63 96 81 0 22 78 54 34 87 67 94 91 78 74 91 29 90 82 81 90 83 92 85 85 92 89 91 80 34 89 79 2 1 1 1 1 2 3 3 4 4 4 1 3 3 2 5 2 2 5 3 3 3 4 5 2 5 2 3 0 1 0 0 0
"359" 3 1 7 1 1 1 5 2 1 2 3 4 2 2 1 4 1 4 1 4 5 1 3 4 5 2 4 5 1 2 5 3 1 5 4 4 0 2 5 0 29 0 0 1 0 1 0 0 16 0 0 22 67 30 49 31 7 12 54 85 83 82 26 29 8 10 1 10 74 39 100 53 100 4 1 0 1 1 0 1 3 5 5 2 2 2 1 2 1 1 5 5 1 5 2 2 1 1 2 3 5 5 0 0 0 1 0
"360" 3 2 7 1 1 1 2 2 2 1 2 3 2 3 1 2 2 4 1 2 4 3 4 3 3 3 2 2 2 1 5 4 4 3 2 3 36 12 5 54 17 32 28 47 10 73 55 36 35 17 50 70 10 73 68 62 65 20 55 45 50 27 75 66 77 84 62 32 57 78 16 12 5 21 3 0 0 1 1 2 2 7 3 5 5 3 1 2 1 2 4 3 2 3 4 2 3 1 3 2 1 3 0 0 0 0 1
"361" 2 2 4 3 1 1 3 5 2 3 4 5 2 3 3 5 5 3 2 3 3 4 7 2 2 5 1 5 3 3 1 3 3 3 3 4 3 7 0 14 0 15 22 41 1 7 0 25 9 0 3 3 21 26 12 16 75 3 3 1 64 0 3 39 70 15 1 2 0 6 0 0 0 0 4 1 1 0 1 2 5 6 5 1 3 1 3 3 2 3 1 2 3 3 4 3 4 4 5 1 2 3 0 0 0 1 0
"362" 3 1 4 1 1 1 4 4 3 1 4 4 1 4 1 5 1 5 3 1 3 4 7 2 3 1 1 4 1 1 5 3 3 3 5 3 0 0 0 0 0 71 0 71 0 41 0 56 0 0 100 79 47 0 16 100 100 0 95 74 62 0 30 84 44 6 0 0 92 0 79 0 80 0 1 1 1 1 1 2 4 5 5 1 1 3 1 2 2 1 5 5 1 5 3 2 3 2 3 3 5 5 0 0 0 1 0
"363" 1 1 1 1 3 1 1 2 1 2 1 2 1 2 1 1 4 1 2 2 1 5 7 2 1 1 3 2 1 1 1 5 5 5 1 2 75 80 85 76 79 80 67 71 87 84 82 69 82 82 63 87 76 66 81 70 65 84 69 84 67 83 78 86 82 64 81 81 88 83 52 55 41 87 1 0 0 0 0 1 1 7 1 1 1 2 1 2 2 2 2 1 2 2 1 2 2 2 2 2 1 1 0 1 0 0 0
"364" 3 4 4 4 1 1 2 3 2 4 2 3 3 3 2 3 3 3 1 3 4 3 1 5 5 5 3 5 3 5 3 3 3 2 3 3 50 1 0 93 49 3 91 100 54 0 1 3 46 0 6 50 52 51 1 1 48 54 97 54 100 52 100 56 100 93 49 50 95 99 50 53 47 54 1 0 1 1 1 1 5 1 5 1 1 2 2 2 2 3 2 2 4 4 5 1 3 5 2 5 3 5 1 0 0 0 0
"365" 3 1 1 3 1 1 1 1 1 3 1 3 1 1 1 3 5 4 1 5 5 1 1 5 5 5 1 5 5 5 1 4 5 1 2 4 0 0 0 100 100 0 100 0 100 100 0 0 100 100 0 50 0 100 100 0 0 50 0 50 100 50 100 0 50 50 100 100 0 0 0 50 0 100 1 0 1 1 1 2 5 1 1 5 5 1 3 3 2 5 1 1 5 2 3 3 3 4 4 3 1 2 1 0 0 0 0
"366" 3 1 2 2 1 1 1 1 2 1 1 4 1 1 1 2 3 1 3 2 2 4 1 1 1 5 1 1 2 2 2 1 3 2 2 3 21 11 34 97 44 54 40 75 15 33 67 75 50 44 85 81 64 6 73 49 61 71 69 72 60 89 31 27 7 53 81 34 85 55 42 63 47 46 1 0 0 0 0 3 4 4 5 1 1 1 3 2 1 3 3 2 2 5 2 1 3 3 2 3 3 1 0 1 0 0 0
"367" 3 1 2 2 1 1 1 1 1 1 1 2 1 1 3 1 3 2 1 1 3 4 6 3 5 5 3 5 1 4 4 1 5 1 1 2 51 2 3 63 65 38 87 23 81 71 0 3 89 55 42 75 47 62 54 36 66 76 3 44 84 72 57 55 53 57 52 51 57 61 56 21 61 61 2 0 1 1 1 1 4 1 5 4 4 1 3 3 2 5 4 2 4 2 4 2 5 5 3 5 3 4 1 0 0 0 0
"368" 3 1 7 1 1 1 5 5 1 1 5 5 1 3 5 5 3 3 3 2 2 1 7 1 5 1 5 5 1 1 5 3 3 3 5 5 2 0 0 0 4 10 0 100 0 0 12 100 86 4 100 100 0 0 0 100 31 7 100 100 0 100 31 90 9 49 0 0 29 4 51 39 54 50 5 0 1 0 0 1 5 7 5 1 1 3 1 1 1 1 5 5 1 3 5 1 1 1 2 5 5 5 0 0 0 0 1
"369" 1 1 4 1 1 1 5 4 3 1 3 2 3 4 1 3 1 5 2 3 3 5 7 2 2 2 2 2 1 1 5 4 2 4 3 2 0 0 0 0 0 100 100 100 0 50 0 0 0 0 81 0 0 53 6 100 72 0 100 100 0 0 76 89 100 91 0 0 100 51 100 0 100 40 2 0 1 1 1 2 2 6 5 1 1 2 3 3 2 2 4 3 2 4 3 3 2 2 3 4 5 5 0 0 0 1 0
"370" 2 2 2 2 2 2 2 2 2 2 2 2 2 1 3 1 2 2 1 2 2 2 6 2 2 2 2 1 2 2 2 2 2 2 2 2 60 56 50 65 61 62 59 82 68 59 66 72 77 59 61 56 62 58 75 73 48 60 75 85 53 70 67 96 77 83 80 62 78 55 74 58 73 53 2 1 1 1 1 1 2 7 2 2 2 2 1 1 2 1 2 3 2 3 2 2 2 2 2 2 2 2 0 0 0 1 0
"371" 1 1 4 1 3 1 3 1 1 1 1 3 1 1 3 3 4 3 2 1 1 5 7 1 5 1 1 5 1 1 3 1 1 1 3 3 10 2 1 1 50 100 100 0 50 32 1 84 50 1 51 52 62 50 50 50 100 49 1 100 100 100 50 51 85 88 52 50 84 85 70 1 86 86 1 1 1 1 1 3 1 1 3 3 3 2 2 3 2 1 5 3 1 5 1 1 1 2 2 3 4 5 1 0 0 0 0
"372" 3 1 2 5 3 3 2 1 1 5 2 3 1 3 5 2 3 3 1 5 5 1 1 5 5 5 3 5 4 5 1 1 5 1 2 2 0 0 0 60 50 0 75 0 70 80 0 0 60 55 2 80 12 50 60 30 5 70 5 50 65 50 50 50 70 50 65 65 50 50 50 15 70 70 2 1 1 0 0 3 5 1 3 3 3 2 2 2 2 4 1 3 5 1 5 5 5 5 1 5 3 3 1 0 0 0 0
"373" 2 1 4 1 1 1 1 1 1 1 1 1 1 1 1 2 5 4 1 1 1 5 7 3 5 2 1 5 1 1 4 1 1 4 2 1 15 40 15 70 90 15 86 57 70 89 28 50 28 51 50 72 53 84 73 72 76 49 49 83 74 51 52 71 50 80 53 72 90 50 86 8 86 15 1 1 1 1 1 1 1 1 5 3 3 1 2 2 2 2 4 4 1 2 2 3 2 3 4 5 2 3 1 0 0 0 0
"374" 3 3 4 3 2 1 2 3 3 3 4 4 3 4 4 4 3 2 1 1 3 3 6 4 5 4 1 2 1 1 5 4 3 2 3 4 4 0 1 51 18 85 50 54 84 50 1 1 51 50 73 82 52 72 85 94 77 72 51 71 62 53 81 92 54 50 71 85 71 52 61 40 61 65 1 1 1 1 1 3 2 6 3 4 3 1 2 2 2 1 3 2 2 5 3 1 4 4 3 5 3 2 0 0 0 1 0
"375" 3 3 6 1 2 1 2 2 3 2 4 3 3 4 4 3 4 3 2 1 2 4 6 4 4 5 2 5 1 1 3 3 3 3 2 2 0 0 0 50 10 50 25 35 50 10 0 25 50 0 50 50 30 50 25 100 85 50 50 75 25 50 75 85 65 65 25 30 75 50 50 25 25 50 2 0 1 1 1 2 3 5 5 1 1 3 1 2 2 1 5 5 2 4 3 2 3 3 3 3 4 5 0 0 0 1 0
"376" 2 3 4 3 2 2 3 3 2 2 4 3 2 3 2 3 4 4 2 2 3 2 5 1 5 5 4 5 2 2 2 3 3 3 3 3 22 25 19 66 42 54 53 43 66 42 18 20 38 51 52 63 53 79 68 81 58 56 23 52 61 86 62 53 74 80 54 74 78 75 66 17 62 61 1 1 1 1 1 3 4 4 4 2 2 1 2 3 2 5 3 3 5 5 5 1 2 3 4 5 1 3 0 0 0 1 0
"377" 2 2 2 2 2 2 2 2 3 3 2 1 2 5 2 5 1 2 2 2 2 5 1 3 2 3 2 2 1 1 2 3 3 3 5 1 65 86 75 71 98 78 31 84 78 50 73 84 7 77 99 75 84 87 7 100 80 83 17 50 55 86 7 82 81 95 44 84 45 53 80 62 97 90 2 0 0 1 0 2 1 1 3 3 3 3 3 3 3 3 2 3 3 5 3 5 5 3 2 2 3 3 0 0 1 0 0
"378" 2 2 3 3 2 2 1 2 2 2 3 3 2 3 2 3 3 3 1 2 3 4 1 2 5 5 1 5 2 3 3 1 4 1 3 2 1 2 5 51 50 50 51 16 50 48 3 6 50 50 14 60 52 74 50 77 50 84 19 74 87 60 76 73 73 76 50 50 74 76 74 0 78 87 2 0 0 1 1 3 2 2 4 2 2 1 3 2 2 5 1 1 5 5 4 2 4 5 1 5 2 4 1 0 0 0 0
"379" 3 4 4 4 3 3 2 4 4 3 5 3 2 4 3 3 2 3 1 2 2 3 2 3 5 3 2 5 3 4 2 3 4 4 3 4 30 1 1 62 85 66 69 48 69 67 1 9 59 1 19 60 77 85 83 42 80 50 30 74 64 49 81 76 94 84 78 77 83 73 67 16 69 76 2 1 0 1 1 2 3 3 4 4 4 1 3 3 2 4 2 3 4 4 4 3 4 5 4 5 3 5 1 0 0 0 0
"380" 2 2 4 1 1 1 5 3 3 1 1 2 3 3 1 5 1 5 1 1 1 5 6 1 5 3 4 4 1 1 3 2 1 3 3 3 1 1 1 1 50 50 51 1 1 51 1 40 1 1 50 1 50 50 50 50 86 1 50 100 1 1 100 50 100 100 50 50 100 50 100 1 50 50 1 1 1 0 0 3 1 5 1 1 3 2 2 2 2 3 3 3 3 4 3 3 1 3 3 4 3 5 0 0 0 1 0
"381" 2 2 2 3 3 2 1 2 2 3 1 3 1 2 2 3 2 2 1 3 3 2 2 4 5 4 2 5 4 5 3 1 4 1 3 2 11 0 0 76 80 55 86 85 76 77 4 21 50 79 11 72 43 76 50 50 65 87 20 76 85 74 78 69 76 94 75 72 73 72 58 6 76 65 1 1 1 1 0 3 1 2 3 4 3 1 3 3 2 4 2 3 4 4 3 3 3 3 2 3 4 4 0 1 0 0 0
"382" 2 4 4 1 1 1 5 2 4 1 3 2 3 4 1 4 1 5 2 1 2 5 7 1 3 3 2 1 1 1 5 3 1 5 3 3 0 0 0 0 41 100 0 71 0 9 0 98 13 0 69 50 41 6 0 100 90 6 75 100 21 7 84 85 45 81 0 0 93 3 79 0 86 11 2 0 0 1 1 3 4 7 5 1 1 3 1 2 2 1 5 5 1 5 3 1 2 1 5 4 4 5 0 0 0 1 0
"383" 3 5 4 1 1 1 2 1 1 1 4 3 3 2 4 4 1 4 2 5 5 1 1 4 5 4 2 1 1 1 5 5 1 4 2 1 28 71 44 10 9 95 13 93 10 31 41 55 25 34 40 75 19 9 9 92 7 14 95 31 58 19 41 69 45 14 7 5 60 53 82 51 57 53 1 0 1 1 1 2 5 7 5 1 1 2 3 3 1 3 5 4 2 5 2 1 2 1 1 5 1 1 0 0 0 0 1
"384" 2 1 3 1 1 1 5 3 5 1 4 4 1 5 1 4 1 5 2 2 2 4 5 2 4 2 1 4 1 1 5 5 3 5 4 3 1 1 1 1 50 50 1 70 15 1 1 50 1 1 50 35 50 50 10 85 50 10 15 50 1 20 50 50 50 50 5 5 50 50 50 1 50 15 1 0 1 0 0 1 5 6 5 1 1 2 2 2 2 2 4 4 3 2 4 3 2 4 2 3 5 5 0 0 0 1 0
"385" 3 3 7 3 1 1 2 5 2 2 1 3 3 4 1 1 3 3 3 3 3 3 4 4 3 3 1 3 3 2 3 2 4 2 4 5 42 5 22 90 7 51 49 47 6 37 19 82 35 53 57 89 81 0 0 59 60 64 35 73 43 92 95 74 100 85 0 0 41 100 0 23 39 86 4 1 1 0 1 3 2 3 5 1 1 1 2 2 3 2 1 2 4 4 2 2 3 2 3 5 3 5 0 1 0 0 0
"386" 2 2 4 2 2 2 3 2 2 2 3 2 2 4 2 3 1 5 2 1 2 4 5 2 5 5 1 3 2 2 2 3 1 1 4 2 0 0 0 60 0 68 28 50 0 41 0 47 1 0 77 50 45 31 46 71 70 47 50 85 0 47 90 85 77 88 29 31 89 50 90 25 90 29 2 1 1 1 1 3 3 7 5 1 1 2 2 2 2 2 2 4 3 5 3 3 2 2 3 3 3 5 0 0 0 0 1
"387" 3 1 6 1 1 1 5 2 2 1 3 2 2 3 1 4 1 5 1 2 4 5 7 1 5 2 1 5 1 2 4 3 1 5 3 1 0 0 0 0 0 95 0 50 0 1 0 0 0 0 98 0 50 50 0 99 50 0 90 100 0 0 100 70 100 100 0 0 99 50 100 0 100 0 1 1 1 1 1 3 5 4 5 1 1 2 1 1 2 1 2 3 2 5 3 1 1 1 1 5 5 5 0 1 0 0 0
"388" 3 3 4 1 1 1 1 1 4 1 3 1 1 3 3 1 2 3 1 1 2 5 6 3 5 4 3 5 2 1 4 3 4 2 3 4 5 0 0 45 52 51 48 50 50 100 0 0 0 0 0 66 54 49 51 67 64 30 50 100 70 51 100 100 50 100 50 52 100 72 50 0 50 50 2 1 1 1 1 3 3 3 4 1 3 2 2 2 2 2 3 3 3 2 4 4 3 4 4 3 2 4 0 0 0 1 0
"389" 1 1 2 3 2 2 3 3 1 2 3 3 2 3 3 3 3 2 1 2 3 4 5 2 5 5 1 5 2 2 3 3 3 3 3 3 40 6 19 70 65 57 68 6 66 71 14 11 40 18 60 58 46 63 70 69 62 63 9 68 64 75 74 72 63 61 62 60 61 62 55 57 58 54 3 1 1 1 1 3 4 1 3 3 3 2 3 2 2 3 3 3 3 5 3 3 4 5 4 5 3 3 1 0 0 0 0
"390" 3 3 7 1 1 1 2 2 2 1 3 2 3 3 3 3 3 3 2 1 2 4 4 4 5 3 2 5 1 4 4 3 5 3 2 1 50 0 0 60 50 50 50 50 50 50 0 70 50 0 40 85 0 95 95 85 95 90 0 90 50 50 95 95 95 85 85 95 85 95 50 0 50 50 1 1 1 1 1 3 3 4 5 1 1 2 2 2 2 3 3 3 3 5 3 2 3 5 4 5 2 2 0 1 0 0 0
"391" 3 3 4 2 1 1 1 1 2 1 3 2 1 3 1 3 3 2 1 2 3 4 7 2 5 1 1 1 3 5 2 3 3 3 4 4 56 0 55 50 0 31 100 72 49 72 35 55 73 20 78 74 69 41 49 62 87 85 58 56 100 93 83 54 90 50 41 54 53 53 51 56 53 53 1 1 1 1 1 3 3 1 5 5 5 1 3 2 1 1 4 2 2 5 2 1 2 5 5 5 1 1 1 0 0 0 0
"392" 1 1 4 1 4 2 2 1 1 3 1 3 1 1 3 4 2 3 1 1 1 4 2 2 5 2 1 5 1 1 5 1 2 1 3 3 1 0 0 62 95 4 95 2 29 93 1 0 30 1 0 63 61 100 56 62 72 91 0 96 100 74 94 73 89 83 69 51 96 61 93 0 100 57 2 1 1 1 1 3 1 1 5 1 1 1 3 3 3 3 2 5 4 4 4 4 2 4 4 1 4 5 1 0 0 0 0
"393" 3 1 7 1 1 1 4 3 2 2 4 1 3 3 1 3 1 5 2 2 3 5 7 3 4 1 1 5 1 1 5 4 3 3 3 2 46 51 49 15 48 43 45 59 2 47 51 44 39 2 74 34 49 35 0 75 68 5 69 87 49 50 47 51 50 48 0 0 50 50 48 27 50 47 1 0 0 1 0 3 5 4 5 1 1 2 2 2 2 1 5 5 1 5 2 1 1 1 4 4 2 5 0 0 0 1 0
"394" 2 2 4 1 1 1 5 5 3 1 4 4 2 4 1 5 1 5 1 1 2 5 7 2 5 4 2 5 1 1 5 2 2 3 3 1 0 0 0 0 50 50 50 50 50 50 0 0 0 0 50 14 50 50 50 50 90 0 70 50 50 15 50 50 50 50 50 50 50 50 50 0 50 50 1 0 1 0 0 2 3 4 5 5 5 3 1 1 3 1 5 3 5 5 3 1 3 5 4 4 3 5 0 0 1 0 0
"395" 3 1 4 4 2 3 2 2 2 4 4 5 1 2 3 4 2 2 1 1 2 3 2 4 5 4 3 5 2 5 1 1 2 1 3 4 0 0 0 69 100 13 93 7 94 89 0 0 76 64 0 79 53 100 83 41 72 89 18 65 93 89 84 74 75 79 92 92 79 67 61 14 75 63 2 1 1 0 0 1 1 1 1 4 4 1 3 3 1 5 2 2 4 1 5 5 4 3 3 4 2 3 1 0 0 0 0
"396" 3 1 7 4 2 1 3 2 1 1 3 4 2 3 2 4 4 3 3 2 2 5 7 2 5 5 1 5 1 1 5 5 5 3 3 3 0 0 0 100 0 0 50 100 100 100 0 50 50 0 100 100 50 50 100 100 100 100 100 100 100 50 100 50 50 50 50 100 50 50 100 0 50 0 2 1 1 1 1 3 5 1 5 3 3 1 3 1 1 5 1 1 5 5 3 1 3 1 4 3 1 3 1 0 0 0 0
"397" 3 1 3 5 1 3 5 2 1 1 2 2 1 2 2 1 2 1 2 1 2 4 3 1 4 4 1 5 1 1 3 1 1 1 1 2 0 0 35 49 8 95 100 18 100 100 0 100 100 86 100 100 100 100 100 100 92 100 1 2 100 100 93 85 100 93 72 73 100 59 13 21 12 48 1 1 1 1 1 3 1 1 1 2 2 2 2 2 2 2 3 3 2 1 1 1 1 5 1 4 2 2 1 0 0 0 0
"398" 2 1 7 5 1 1 1 5 5 1 5 5 5 5 5 5 3 5 2 1 1 5 1 1 5 1 1 1 3 5 1 3 3 3 1 1 68 0 3 0 42 10 0 22 0 0 0 0 0 11 24 0 32 0 0 59 17 19 36 34 26 31 20 52 51 44 0 1 0 21 0 0 0 0 1 1 1 1 1 1 1 7 5 1 1 3 1 3 1 1 1 1 1 3 5 1 5 3 5 5 5 5 0 0 0 0 1
"399" 3 1 2 1 3 2 4 4 4 1 1 3 1 2 2 3 2 4 2 2 2 4 2 2 5 5 1 4 1 2 5 1 2 1 3 4 2 0 0 32 18 50 87 62 61 34 10 9 29 10 49 39 54 70 51 88 86 16 62 84 17 64 80 73 94 72 54 51 51 43 40 7 41 61 1 1 1 0 0 2 4 3 4 2 2 2 3 3 3 3 2 4 4 5 3 2 2 3 1 5 2 5 0 1 0 0 0
"400" 3 2 3 3 1 1 2 1 2 4 3 2 1 3 3 2 3 3 1 3 4 3 2 4 5 4 2 5 3 5 2 1 3 1 2 3 0 0 0 50 50 0 50 11 73 50 0 0 43 26 10 80 25 50 50 14 18 43 0 40 50 50 50 50 50 50 50 50 50 19 30 0 50 50 1 1 1 0 1 2 3 2 1 5 5 1 3 3 2 5 1 1 5 1 5 5 5 5 3 3 2 2 1 0 0 0 0
"401" 3 2 4 3 1 1 1 5 3 1 3 4 3 3 2 3 4 4 2 4 5 3 5 2 5 2 3 2 1 3 3 3 3 3 1 2 0 0 0 51 51 71 0 50 29 51 0 51 51 28 53 51 15 50 41 50 29 14 49 50 51 50 62 0 52 85 13 30 50 52 51 39 50 50 3 1 1 1 1 3 3 7 5 2 2 1 2 3 3 4 2 1 5 2 2 3 3 4 4 5 3 5 0 0 0 0 1
"402" 2 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 2 3 3 3 1 3 3 3 5 3 3 3 3 3 3 3 3 3 14 50 11 14 16 13 12 52 51 52 42 11 11 16 9 13 52 49 5 19 12 12 12 52 9 57 51 9 58 51 13 52 53 42 11 14 11 14 1 1 1 1 1 1 3 1 3 2 2 2 1 2 2 3 3 3 3 3 3 3 3 3 4 4 3 3 0 0 0 0 1
"403" 2 1 3 2 1 2 3 2 1 1 3 2 1 3 1 2 3 3 2 3 4 4 4 3 4 2 1 1 2 2 4 3 2 2 3 2 11 0 0 30 0 49 83 47 51 49 0 53 46 21 72 83 60 30 20 100 50 70 17 50 87 55 84 75 75 78 3 16 86 71 70 18 71 70 3 0 1 1 0 2 3 3 5 1 1 1 3 2 2 4 2 2 4 5 2 1 2 3 4 4 3 4 0 1 0 0 0
"404" 2 4 7 1 1 1 5 4 5 1 4 4 1 4 1 4 1 5 1 1 1 5 7 1 3 3 1 5 1 1 3 3 1 5 4 4 0 0 0 0 50 50 50 50 0 0 0 0 0 0 50 0 50 50 0 50 100 0 50 50 50 0 50 50 50 50 0 0 50 50 50 0 50 0 1 1 1 1 0 3 3 4 5 1 1 2 2 2 2 1 5 5 1 5 3 2 3 4 5 5 5 5 0 1 0 0 0
"405" 2 3 6 1 2 1 5 4 3 1 4 4 2 5 2 4 1 5 1 1 2 5 7 1 2 1 2 5 1 1 5 5 4 5 4 3 0 0 0 0 8 43 49 2 0 0 0 0 0 0 51 0 61 3 0 78 92 0 63 85 81 0 85 85 85 87 0 0 85 50 55 0 64 1 1 1 1 1 0 3 5 2 5 1 1 2 2 2 2 1 5 5 2 4 2 2 3 3 5 5 5 5 1 0 0 0 0
"406" 3 2 4 1 1 1 3 2 1 1 3 3 1 5 1 4 1 5 2 3 4 4 4 2 4 3 1 3 1 1 4 5 2 5 4 4 0 0 0 0 50 51 40 100 0 17 0 32 0 0 51 36 31 50 23 45 50 50 31 87 0 31 50 50 50 52 0 0 50 40 51 0 51 18 1 0 1 1 0 2 4 6 5 1 1 2 2 2 2 3 4 3 3 3 4 3 2 3 3 3 5 5 0 0 0 1 0
"407" 3 1 4 1 1 2 3 1 1 1 3 1 1 2 1 1 1 5 2 1 4 5 7 2 4 1 1 2 1 1 5 5 5 1 1 1 1 1 0 3 5 100 7 100 3 53 3 9 2 5 86 100 43 14 3 100 100 6 100 100 3 7 100 21 84 100 5 3 92 54 100 1 100 100 1 1 1 1 0 3 3 6 5 1 1 2 2 2 3 2 2 4 4 5 2 2 2 4 1 5 1 3 0 0 0 1 0
"408" 2 4 4 2 2 2 3 4 3 3 4 4 4 5 3 3 3 2 1 3 3 2 7 4 5 4 3 3 2 2 4 4 4 4 2 2 66 1 64 71 51 57 72 27 51 68 1 33 52 53 17 72 76 0 38 87 70 75 68 90 68 80 84 60 79 77 0 0 66 79 2 65 13 59 3 0 1 1 1 2 2 6 2 3 2 1 3 2 2 3 2 2 3 4 2 2 2 3 2 5 3 4 0 0 0 1 0
"409" 2 3 7 1 1 1 3 3 5 1 5 1 1 5 2 3 2 5 2 5 3 3 1 1 3 5 1 2 1 1 5 5 3 5 5 2 0 0 0 0 53 92 0 2 53 0 0 0 0 0 27 55 67 52 51 89 1 79 99 92 0 4 17 89 85 94 53 52 83 0 53 0 49 0 3 0 0 0 0 2 5 6 5 1 1 2 2 2 2 1 5 5 1 3 5 3 2 1 4 1 5 5 0 0 0 1 0
