"IID" "pop"
"HG03372" "African"
"HG03376" "African"
"HG03378" "African"
"HG03380" "African"
"HG03382" "African"
"HG03385" "African"
"HG03388" "African"
"HG03391" "African"
"HG03394" "African"
"HG03397" "African"
"HG03401" "African"
"HG03410" "African"
"HG03419" "African"
"HG03428" "African"
"HG03432" "African"
"HG03433" "African"
"HG03436" "African"
"HG03437" "African"
"HG03439" "African"
"HG03442" "African"
"HG03445" "African"
"HG03446" "African"
"HG03449" "African"
"HG03451" "African"
"HG03452" "African"
"HG03455" "African"
"HG03457" "African"
"HG03458" "African"
"HG03460" "African"
"HG03461" "African"
"HG03464" "African"
"HG03469" "African"
"HG03470" "African"
"HG03472" "African"
"HG03473" "African"
"HG03476" "African"
"HG03478" "African"
"HG03479" "African"
"HG03484" "African"
"HG03485" "African"
"HG03488" "Hispanic"
"HG03490" "Hispanic"
"HG03491" "Hispanic"
"HG03499" "African"
"HG03511" "African"
"HG03514" "African"
"HG03515" "African"
"HG03517" "African"
"HG03518" "African"
"HG03520" "African"
"HG03521" "African"
"HG03538" "African"
"HG03539" "African"
"HG03547" "African"
"HG03548" "African"
"HG03556" "African"
"HG03557" "African"
"HG03558" "African"
"HG03559" "African"
"HG03563" "African"
"HG03565" "African"
"HG03567" "African"
"HG03571" "African"
"HG03572" "African"
"HG03575" "African"
"HG03577" "African"
"HG03578" "African"
"HG03583" "African"
"HG03585" "Hispanic"
"HG03589" "Hispanic"
"HG03593" "Hispanic"
"HG03594" "Hispanic"
"HG03595" "Hispanic"
"HG03598" "Hispanic"
"HG03600" "Hispanic"
"HG03603" "Hispanic"
"HG03604" "Hispanic"
"HG03607" "Hispanic"
"HG03611" "Hispanic"
"HG03615" "Hispanic"
"HG03616" "Hispanic"
"HG03619" "Hispanic"
"HG03624" "Hispanic"
"HG03625" "Hispanic"
"HG03629" "Hispanic"
"HG03631" "Hispanic"
"HG03634" "Hispanic"
"HG03636" "Hispanic"
"HG03640" "Hispanic"
"HG03642" "Hispanic"
"HG03643" "Hispanic"
"HG03644" "Hispanic"
"HG03645" "Hispanic"
"HG03646" "Hispanic"
"HG03649" "Hispanic"
"HG03652" "Hispanic"
"HG03653" "Hispanic"
"HG03660" "Hispanic"
"HG03663" "Hispanic"
"HG03667" "Hispanic"
"HG03668" "Hispanic"
"HG03672" "Hispanic"
"HG03673" "Hispanic"
"HG03679" "Hispanic"
"HG03680" "Hispanic"
"HG03681" "Hispanic"
"HG03684" "Hispanic"
"HG03685" "Hispanic"
"HG03686" "Hispanic"
"HG03687" "Hispanic"
"HG03689" "Hispanic"
"HG03690" "Hispanic"
"HG03691" "Hispanic"
"HG03692" "Hispanic"
"HG03693" "Hispanic"
"HG03694" "Hispanic"
"HG03695" "Hispanic"
"HG03696" "Hispanic"
"HG03697" "Hispanic"
"HG03698" "Hispanic"
"HG03702" "Hispanic"
"HG03703" "Hispanic"
"HG03705" "Hispanic"
"HG03706" "Hispanic"
"HG03708" "Hispanic"
"HG03709" "Hispanic"
"HG03711" "Hispanic"
"HG03713" "Hispanic"
"HG03714" "Hispanic"
"HG03716" "Hispanic"
"HG03717" "Hispanic"
"HG03718" "Hispanic"
"HG03720" "Hispanic"
"HG03722" "Hispanic"
"HG03727" "Hispanic"
"HG03729" "Hispanic"
"HG03730" "Hispanic"
"HG03731" "Hispanic"
"HG03733" "Hispanic"
"HG03736" "Hispanic"
"HG03738" "Hispanic"
"HG03740" "Hispanic"
"HG03741" "Hispanic"
"HG03742" "Hispanic"
"HG03743" "Hispanic"
"HG03744" "Hispanic"
"HG03745" "Hispanic"
"HG03746" "Hispanic"
"HG03750" "Hispanic"
"HG03752" "Hispanic"
"HG03753" "Hispanic"
"HG03754" "Hispanic"
"HG03755" "Hispanic"
"HG03756" "Hispanic"
"HG03757" "Hispanic"
"HG03760" "Hispanic"
"HG03762" "Hispanic"
"HG03765" "Hispanic"
"HG03767" "Hispanic"
"HG03770" "Hispanic"
"HG03771" "Hispanic"
"HG03772" "Hispanic"
"HG03773" "Hispanic"
"HG03774" "Hispanic"
"HG03775" "Hispanic"
"HG03777" "Hispanic"
"HG03778" "Hispanic"
"HG03779" "Hispanic"
"HG03780" "Hispanic"
"HG03781" "Hispanic"
"HG03782" "Hispanic"
"HG03784" "Hispanic"
"HG03785" "Hispanic"
"HG03786" "Hispanic"
"HG03787" "Hispanic"
"HG03788" "Hispanic"
"HG03789" "Hispanic"
"HG03790" "Hispanic"
"HG03792" "Hispanic"
"HG03793" "Hispanic"
"HG03796" "Hispanic"
"HG03800" "Hispanic"
"HG03802" "Hispanic"
"HG03803" "Hispanic"
"HG03805" "Hispanic"
"HG03808" "Hispanic"
"HG03809" "Hispanic"
"HG03812" "Hispanic"
"HG03814" "Hispanic"
"HG03815" "Hispanic"
"HG03817" "Hispanic"
"HG03821" "Hispanic"
"HG03823" "Hispanic"
"HG03824" "Hispanic"
"HG03826" "Hispanic"
"HG03829" "Hispanic"
"HG03830" "Hispanic"
"HG03832" "Hispanic"
"HG03833" "Hispanic"
"HG03836" "Hispanic"
"HG03837" "Hispanic"
"HG03838" "Hispanic"
"HG03844" "Hispanic"
"HG03846" "Hispanic"
"HG03848" "Hispanic"
"HG03849" "Hispanic"
"HG03850" "Hispanic"
"HG03851" "Hispanic"
"HG03854" "Hispanic"
"HG03856" "Hispanic"
"HG03857" "Hispanic"
"HG03858" "Hispanic"
"HG03861" "Hispanic"
"HG03862" "Hispanic"
"HG03863" "Hispanic"
"HG03864" "Hispanic"
"HG03866" "Hispanic"
"HG03867" "Hispanic"
"HG03868" "Hispanic"
"HG03869" "Hispanic"
"HG03870" "Hispanic"
"HG03871" "Hispanic"
"HG03872" "Hispanic"
"HG03873" "Hispanic"
"HG03874" "Hispanic"
"HG03875" "Hispanic"
"HG03882" "Hispanic"
"HG03884" "Hispanic"
"HG03885" "Hispanic"
"HG03886" "Hispanic"
"HG03887" "Hispanic"
"HG03888" "Hispanic"
"HG03890" "Hispanic"
"HG03894" "Hispanic"
"HG03895" "Hispanic"
"HG03896" "Hispanic"
"HG03897" "Hispanic"
"HG03898" "Hispanic"
"HG03899" "Hispanic"
"HG03900" "Hispanic"
"HG03902" "Hispanic"
"HG03905" "Hispanic"
"HG03907" "Hispanic"
"HG03908" "Hispanic"
"HG03910" "Hispanic"
"HG03911" "Hispanic"
"HG03913" "Hispanic"
"HG03914" "Hispanic"
"HG03916" "Hispanic"
"HG03917" "Hispanic"
"HG03919" "Hispanic"
"HG03920" "Hispanic"
"HG03922" "Hispanic"
"HG03925" "Hispanic"
"HG03926" "Hispanic"
"HG03928" "Hispanic"
"HG03931" "Hispanic"
"HG03934" "Hispanic"
"HG03937" "Hispanic"
"HG03940" "Hispanic"
"HG03941" "Hispanic"
"HG03943" "Hispanic"
"HG03944" "Hispanic"
"HG03945" "Hispanic"
"HG03947" "Hispanic"
"HG03949" "Hispanic"
"HG03950" "Hispanic"
"HG03951" "Hispanic"
"HG03953" "Hispanic"
"HG03955" "Hispanic"
"HG03960" "Hispanic"
"HG03963" "Hispanic"
"HG03965" "Hispanic"
"HG03967" "Hispanic"
"HG03968" "Hispanic"
"HG03969" "Hispanic"
"HG03971" "Hispanic"
"HG03973" "Hispanic"
"HG03974" "Hispanic"
"HG03976" "Hispanic"
"HG03977" "Hispanic"
"HG03978" "Hispanic"
"HG03985" "Hispanic"
"HG03986" "Hispanic"
"HG03989" "Hispanic"
"HG03990" "Hispanic"
"HG03991" "Hispanic"
"HG03995" "Hispanic"
"HG03998" "Hispanic"
"HG03999" "Hispanic"
"HG04001" "Hispanic"
"HG04002" "Hispanic"
"HG04003" "Hispanic"
"HG04006" "Hispanic"
"HG04014" "Hispanic"
"HG04015" "Hispanic"
"HG04017" "Hispanic"
"HG04018" "Hispanic"
"HG04019" "Hispanic"
"HG04020" "Hispanic"
"HG04022" "Hispanic"
"HG04023" "Hispanic"
"HG04025" "Hispanic"
"HG04026" "Hispanic"
"HG04029" "Hispanic"
"HG04033" "Hispanic"
"HG04035" "Hispanic"
"HG04038" "Hispanic"
"HG04039" "Hispanic"
"HG04042" "Hispanic"
"HG04047" "Hispanic"
"HG04054" "Hispanic"
"HG04056" "Hispanic"
"HG04059" "Hispanic"
"HG04060" "Hispanic"
"HG04061" "Hispanic"
"HG04062" "Hispanic"
"HG04063" "Hispanic"
"HG04070" "Hispanic"
"HG04075" "Hispanic"
"HG04076" "Hispanic"
"HG04080" "Hispanic"
"HG04090" "Hispanic"
"HG04093" "Hispanic"
"HG04094" "Hispanic"
"HG04096" "Hispanic"
"HG04098" "Hispanic"
"HG04099" "Hispanic"
"HG04100" "Hispanic"
"HG04106" "Hispanic"
"HG04107" "Hispanic"
"HG04118" "Hispanic"
"HG04131" "Hispanic"
"HG04134" "Hispanic"
"HG04140" "Hispanic"
"HG04141" "Hispanic"
"HG04144" "Hispanic"
"HG04146" "Hispanic"
"HG04152" "Hispanic"
"HG04153" "Hispanic"
"HG04155" "Hispanic"
"HG04156" "Hispanic"
"HG04158" "Hispanic"
"HG04159" "Hispanic"
"HG04161" "Hispanic"
"HG04162" "Hispanic"
"HG04164" "Hispanic"
"HG04171" "Hispanic"
"HG04173" "Hispanic"
"HG04176" "Hispanic"
"HG04177" "Hispanic"
"HG04180" "Hispanic"
"HG04182" "Hispanic"
"HG04183" "Hispanic"
"HG04185" "Hispanic"
"HG04186" "Hispanic"
"HG04188" "Hispanic"
"HG04189" "Hispanic"
"HG04194" "Hispanic"
"HG04195" "Hispanic"
"HG04198" "Hispanic"
"HG04200" "Hispanic"
"HG04202" "Hispanic"
"HG04206" "Hispanic"
"HG04209" "Hispanic"
"HG04210" "Hispanic"
"HG04211" "Hispanic"
"HG04212" "Hispanic"
"HG04214" "Hispanic"
"HG04216" "Hispanic"
"HG04219" "Hispanic"
"HG04222" "Hispanic"
"HG04225" "Hispanic"
"HG04227" "Hispanic"
"HG04229" "Hispanic"
"HG04235" "Hispanic"
"HG04238" "Hispanic"
"HG04239" "Hispanic"
"NA06984" "European"
"NA06985" "European"
"NA06986" "European"
"NA06989" "European"
"NA06994" "European"
"NA07000" "European"
"NA07037" "European"
"NA07048" "European"
"NA07051" "European"
"NA07056" "European"
"NA07347" "European"
"NA07357" "European"
"NA10847" "European"
"NA10851" "European"
"NA11829" "European"
"NA11830" "European"
"NA11831" "European"
"NA11832" "European"
"NA11840" "European"
"NA11843" "European"
"NA11881" "European"
"NA11892" "European"
"NA11893" "European"
"NA11894" "European"
"NA11918" "European"
"NA11919" "European"
"NA11920" "European"
"NA11930" "European"
"NA11931" "European"
"NA11932" "European"
"NA11933" "European"
"NA11992" "European"
"NA11994" "European"
"NA11995" "European"
"NA12003" "European"
"NA12004" "European"
"NA12005" "European"
"NA12006" "European"
"NA12043" "European"
"NA12044" "European"
"NA12045" "European"
"NA12046" "European"
"NA12058" "European"
"NA12144" "European"
"NA12154" "European"
"NA12155" "European"
"NA12156" "European"
"NA12234" "European"
"NA12249" "European"
"NA12272" "European"
"NA12273" "European"
"NA12275" "European"
"NA12282" "European"
"NA12283" "European"
"NA12286" "European"
"NA12287" "European"
"NA12340" "European"
"NA12341" "European"
"NA12342" "European"
"NA12347" "European"
"NA12348" "European"
"NA12383" "European"
"NA12399" "European"
"NA12400" "European"
"NA12413" "European"
"NA12414" "European"
"NA12489" "European"
"NA12546" "European"
"NA12716" "European"
"NA12717" "European"
"NA12718" "European"
"NA12748" "European"
"NA12749" "European"
"NA12750" "European"
"NA12751" "European"
"NA12760" "European"
"NA12761" "European"
"NA12762" "European"
"NA12763" "European"
"NA12775" "European"
"NA12776" "European"
"NA12777" "European"
"NA12778" "European"
"NA12812" "European"
"NA12813" "European"
"NA12814" "European"
"NA12815" "European"
"NA12827" "European"
"NA12828" "European"
"NA12829" "European"
"NA12830" "European"
"NA12842" "European"
"NA12843" "European"
"NA12872" "European"
"NA12873" "European"
"NA12874" "European"
"NA12878" "European"
"NA12889" "European"
"NA12890" "European"
"NA18486" "African"
"NA18488" "African"
"NA18489" "African"
"NA18498" "African"
"NA18499" "African"
"NA18501" "African"
"NA18502" "African"
"NA18504" "African"
"NA18505" "African"
"NA18507" "African"
"NA18508" "African"
"NA18510" "African"
"NA18511" "African"
"NA18516" "African"
"NA18517" "African"
"NA18519" "African"
"NA18520" "African"
"NA18522" "African"
"NA18523" "African"
"NA18525" "East Asian"
"NA18526" "East Asian"
"NA18528" "East Asian"
"NA18530" "East Asian"
"NA18531" "East Asian"
"NA18532" "East Asian"
"NA18533" "East Asian"
"NA18534" "East Asian"
"NA18535" "East Asian"
"NA18536" "East Asian"
"NA18537" "East Asian"
"NA18538" "East Asian"
"NA18539" "East Asian"
"NA18541" "East Asian"
"NA18542" "East Asian"
"NA18543" "East Asian"
"NA18544" "East Asian"
"NA18545" "East Asian"
"NA18546" "East Asian"
"NA18547" "East Asian"
"NA18548" "East Asian"
"NA18549" "East Asian"
"NA18550" "East Asian"
"NA18552" "East Asian"
"NA18553" "East Asian"
"NA18555" "East Asian"
"NA18557" "East Asian"
"NA18558" "East Asian"
"NA18559" "East Asian"
"NA18560" "East Asian"
"NA18561" "East Asian"
"NA18562" "East Asian"
"NA18563" "East Asian"
"NA18564" "East Asian"
"NA18565" "East Asian"
"NA18566" "East Asian"
"NA18567" "East Asian"
"NA18570" "East Asian"
"NA18571" "East Asian"
"NA18572" "East Asian"
"NA18573" "East Asian"
"NA18574" "East Asian"
"NA18577" "East Asian"
"NA18579" "East Asian"
"NA18582" "East Asian"
"NA18591" "East Asian"
"NA18592" "East Asian"
"NA18593" "East Asian"
"NA18595" "East Asian"
"NA18596" "East Asian"
"NA18597" "East Asian"
"NA18599" "East Asian"
"NA18602" "East Asian"
"NA18603" "East Asian"
"NA18605" "East Asian"
"NA18606" "East Asian"
"NA18608" "East Asian"
"NA18609" "East Asian"
"NA18610" "East Asian"
"NA18611" "East Asian"
"NA18612" "East Asian"
"NA18613" "East Asian"
"NA18614" "East Asian"
"NA18615" "East Asian"
"NA18616" "East Asian"
"NA18617" "East Asian"
"NA18618" "East Asian"
"NA18619" "East Asian"
"NA18620" "East Asian"
"NA18621" "East Asian"
"NA18622" "East Asian"
"NA18623" "East Asian"
"NA18624" "East Asian"
"NA18625" "East Asian"
"NA18626" "East Asian"
"NA18627" "East Asian"
"NA18628" "East Asian"
"NA18629" "East Asian"
"NA18630" "East Asian"
"NA18631" "East Asian"
"NA18632" "East Asian"
"NA18633" "East Asian"
"NA18634" "East Asian"
"NA18635" "East Asian"
"NA18636" "East Asian"
"NA18637" "East Asian"
"NA18638" "East Asian"
"NA18639" "East Asian"
"NA18640" "East Asian"
"NA18641" "East Asian"
"NA18642" "East Asian"
"NA18643" "East Asian"
"NA18644" "East Asian"
"NA18645" "East Asian"
"NA18646" "East Asian"
"NA18647" "East Asian"
"NA18648" "East Asian"
"NA18740" "East Asian"
"NA18745" "East Asian"
"NA18747" "East Asian"
"NA18748" "East Asian"
"NA18749" "East Asian"
"NA18757" "East Asian"
"NA18853" "African"
"NA18856" "African"
"NA18858" "African"
"NA18861" "African"
"NA18864" "African"
"NA18865" "African"
"NA18867" "African"
"NA18868" "African"
"NA18870" "African"
"NA18871" "African"
"NA18873" "African"
"NA18874" "African"
"NA18876" "African"
"NA18877" "African"
"NA18878" "African"
"NA18879" "African"
"NA18881" "African"
"NA18907" "African"
"NA18908" "African"
"NA18909" "African"
"NA18910" "African"
"NA18912" "African"
"NA18915" "African"
"NA18916" "African"
"NA18917" "African"
"NA18923" "African"
"NA18924" "African"
"NA18933" "African"
"NA18934" "African"
"NA18939" "East Asian"
"NA18940" "East Asian"
"NA18941" "East Asian"
"NA18942" "East Asian"
"NA18943" "East Asian"
"NA18944" "East Asian"
"NA18945" "East Asian"
"NA18946" "East Asian"
"NA18947" "East Asian"
"NA18948" "East Asian"
"NA18949" "East Asian"
"NA18950" "East Asian"
"NA18951" "East Asian"
"NA18952" "East Asian"
"NA18953" "East Asian"
"NA18954" "East Asian"
"NA18956" "East Asian"
"NA18957" "East Asian"
"NA18959" "East Asian"
"NA18960" "East Asian"
"NA18961" "East Asian"
"NA18962" "East Asian"
"NA18963" "East Asian"
"NA18964" "East Asian"
"NA18965" "East Asian"
"NA18966" "East Asian"
"NA18967" "East Asian"
"NA18968" "East Asian"
"NA18969" "East Asian"
"NA18970" "East Asian"
"NA18971" "East Asian"
"NA18972" "East Asian"
"NA18973" "East Asian"
"NA18974" "East Asian"
"NA18975" "East Asian"
"NA18976" "East Asian"
"NA18977" "East Asian"
"NA18978" "East Asian"
"NA18979" "East Asian"
"NA18980" "East Asian"
"NA18981" "East Asian"
"NA18982" "East Asian"
"NA18983" "East Asian"
"NA18984" "East Asian"
"NA18985" "East Asian"
"NA18986" "East Asian"
"NA18987" "East Asian"
"NA18988" "East Asian"
"NA18989" "East Asian"
"NA18990" "East Asian"
"NA18991" "East Asian"
"NA18992" "East Asian"
"NA18993" "East Asian"
"NA18994" "East Asian"
"NA18995" "East Asian"
"NA18997" "East Asian"
"NA18998" "East Asian"
"NA18999" "East Asian"
"NA19000" "East Asian"
"NA19001" "East Asian"
"NA19002" "East Asian"
"NA19003" "East Asian"
"NA19004" "East Asian"
"NA19005" "East Asian"
"NA19006" "East Asian"
"NA19007" "East Asian"
"NA19009" "East Asian"
"NA19010" "East Asian"
"NA19011" "East Asian"
"NA19012" "East Asian"
"NA19017" "African"
"NA19019" "African"
"NA19020" "African"
"NA19023" "African"
"NA19024" "African"
"NA19025" "African"
"NA19026" "African"
"NA19027" "African"
"NA19028" "African"
"NA19030" "African"
"NA19031" "African"
"NA19035" "African"
"NA19036" "African"
"NA19037" "African"
"NA19038" "African"
"NA19041" "African"
"NA19042" "African"
"NA19043" "African"
"NA19054" "East Asian"
"NA19055" "East Asian"
"NA19056" "East Asian"
"NA19057" "East Asian"
"NA19058" "East Asian"
"NA19059" "East Asian"
"NA19060" "East Asian"
"NA19062" "East Asian"
"NA19063" "East Asian"
"NA19064" "East Asian"
"NA19065" "East Asian"
"NA19066" "East Asian"
"NA19067" "East Asian"
"NA19068" "East Asian"
"NA19070" "East Asian"
"NA19072" "East Asian"
"NA19074" "East Asian"
"NA19075" "East Asian"
"NA19076" "East Asian"
"NA19077" "East Asian"
"NA19078" "East Asian"
"NA19079" "East Asian"
"NA19080" "East Asian"
"NA19081" "East Asian"
"NA19082" "East Asian"
"NA19083" "East Asian"
"NA19084" "East Asian"
"NA19085" "East Asian"
"NA19086" "East Asian"
"NA19087" "East Asian"
"NA19088" "East Asian"
"NA19089" "East Asian"
"NA19090" "East Asian"
"NA19091" "East Asian"
"NA19092" "African"
"NA19093" "African"
"NA19095" "African"
"NA19096" "African"
"NA19098" "African"
"NA19099" "African"
"NA19102" "African"
"NA19107" "African"
"NA19108" "African"
"NA19113" "African"
"NA19114" "African"
"NA19116" "African"
"NA19117" "African"
"NA19118" "African"
"NA19119" "African"
"NA19121" "African"
"NA19129" "African"
"NA19130" "African"
"NA19131" "African"
"NA19137" "African"
"NA19138" "African"
"NA19141" "African"
"NA19143" "African"
"NA19144" "African"
"NA19146" "African"
"NA19147" "African"
"NA19149" "African"
"NA19152" "African"
"NA19153" "African"
"NA19159" "African"
"NA19160" "African"
"NA19171" "African"
"NA19172" "African"
"NA19175" "African"
"NA19184" "African"
"NA19185" "African"
"NA19189" "African"
"NA19190" "African"
"NA19197" "African"
"NA19198" "African"
"NA19200" "African"
"NA19201" "African"
"NA19204" "African"
"NA19206" "African"
"NA19207" "African"
"NA19209" "African"
"NA19210" "African"
"NA19213" "African"
"NA19214" "African"
"NA19222" "African"
"NA19223" "African"
"NA19225" "African"
"NA19235" "African"
"NA19236" "African"
"NA19238" "African"
"NA19239" "African"
"NA19247" "African"
"NA19248" "African"
"NA19256" "African"
"NA19257" "African"
"NA19307" "African"
"NA19308" "African"
"NA19309" "African"
"NA19310" "African"
"NA19312" "African"
"NA19314" "African"
"NA19315" "African"
"NA19316" "African"
"NA19317" "African"
"NA19318" "African"
"NA19319" "African"
"NA19320" "African"
"NA19321" "African"
"NA19323" "African"
"NA19324" "African"
"NA19327" "African"
"NA19328" "African"
"NA19331" "African"
"NA19332" "African"
"NA19334" "African"
"NA19338" "African"
"NA19346" "African"
"NA19347" "African"
"NA19350" "African"
"NA19351" "African"
"NA19355" "African"
"NA19360" "African"
"NA19372" "African"
"NA19374" "African"
"NA19375" "African"
"NA19376" "African"
"NA19377" "African"
"NA19378" "African"
"NA19379" "African"
"NA19380" "African"
"NA19383" "African"
"NA19384" "African"
"NA19385" "African"
"NA19390" "African"
"NA19391" "African"
"NA19393" "African"
"NA19394" "African"
"NA19395" "African"
"NA19397" "African"
"NA19399" "African"
"NA19401" "African"
"NA19403" "African"
"NA19404" "African"
"NA19428" "African"
"NA19429" "African"
"NA19430" "African"
"NA19431" "African"
"NA19434" "African"
"NA19435" "African"
"NA19436" "African"
"NA19437" "African"
"NA19438" "African"
"NA19439" "African"
"NA19440" "African"
"NA19443" "African"
"NA19445" "African"
"NA19446" "African"
"NA19448" "African"
"NA19449" "African"
"NA19451" "African"
"NA19452" "African"
"NA19454" "African"
"NA19455" "African"
"NA19456" "African"
"NA19457" "African"
"NA19461" "African"
"NA19462" "African"
"NA19463" "African"
"NA19466" "African"
"NA19467" "African"
"NA19468" "African"
"NA19471" "African"
"NA19472" "African"
"NA19473" "African"
"NA19474" "African"
"NA19475" "African"
"NA19625" "African"
"NA19648" "American"
"NA19649" "American"
"NA19651" "American"
"NA19652" "American"
"NA19654" "American"
"NA19655" "American"
"NA19657" "American"
"NA19658" "American"
"NA19661" "American"
"NA19663" "American"
"NA19664" "American"
"NA19669" "American"
"NA19670" "American"
"NA19676" "American"
"NA19678" "American"
"NA19679" "American"
"NA19681" "American"
"NA19682" "American"
"NA19684" "American"
"NA19700" "African"
"NA19701" "African"
"NA19703" "African"
"NA19704" "African"
"NA19707" "African"
"NA19711" "African"
"NA19712" "African"
"NA19713" "African"
"NA19716" "American"
"NA19717" "American"
"NA19719" "American"
"NA19720" "American"
"NA19722" "American"
"NA19723" "American"
"NA19725" "American"
"NA19726" "American"
"NA19728" "American"
"NA19729" "American"
"NA19731" "American"
"NA19732" "American"
"NA19734" "American"
"NA19735" "American"
"NA19740" "American"
"NA19741" "American"
"NA19746" "American"
"NA19747" "American"
"NA19749" "American"
"NA19750" "American"
"NA19752" "American"
"NA19755" "American"
"NA19756" "American"
"NA19758" "American"
"NA19759" "American"
"NA19761" "American"
"NA19762" "American"
"NA19764" "American"
"NA19770" "American"
"NA19771" "American"
"NA19773" "American"
"NA19774" "American"
"NA19776" "American"
"NA19777" "American"
"NA19779" "American"
"NA19780" "American"
"NA19782" "American"
"NA19783" "American"
"NA19785" "American"
"NA19786" "American"
"NA19788" "American"
"NA19789" "American"
"NA19792" "American"
"NA19794" "American"
"NA19795" "American"
"NA19818" "African"
"NA19819" "African"
"NA19834" "African"
"NA19835" "African"
"NA19900" "African"
"NA19901" "African"
"NA19904" "African"
"NA19908" "African"
"NA19909" "African"
"NA19913" "African"
"NA19914" "African"
"NA19916" "African"
"NA19917" "African"
"NA19920" "African"
"NA19921" "African"
"NA19922" "African"
"NA19923" "African"
"NA19982" "African"
"NA19984" "African"
"NA20126" "African"
"NA20127" "African"
"NA20274" "African"
"NA20276" "African"
"NA20278" "African"
"NA20281" "African"
"NA20282" "African"
"NA20287" "African"
"NA20289" "African"
"NA20291" "African"
"NA20294" "African"
"NA20296" "African"
"NA20298" "African"
"NA20299" "African"
"NA20314" "African"
"NA20317" "African"
"NA20318" "African"
"NA20320" "African"
"NA20321" "African"
"NA20332" "African"
"NA20334" "African"
"NA20339" "African"
"NA20340" "African"
"NA20342" "African"
"NA20346" "African"
"NA20348" "African"
"NA20351" "African"
"NA20355" "African"
"NA20356" "African"
"NA20357" "African"
"NA20359" "African"
"NA20362" "African"
"NA20412" "African"
"NA20502" "European"
"NA20503" "European"
"NA20504" "European"
"NA20505" "European"
"NA20506" "European"
"NA20507" "European"
"NA20508" "European"
"NA20509" "European"
"NA20510" "European"
"NA20511" "European"
"NA20512" "European"
"NA20513" "European"
"NA20514" "European"
"NA20515" "European"
"NA20516" "European"
"NA20517" "European"
"NA20518" "European"
"NA20519" "European"
"NA20520" "European"
"NA20521" "European"
"NA20522" "European"
"NA20524" "European"
"NA20525" "European"
"NA20527" "European"
"NA20528" "European"
"NA20529" "European"
"NA20530" "European"
"NA20531" "European"
"NA20532" "European"
"NA20533" "European"
"NA20534" "European"
"NA20535" "European"
"NA20536" "European"
"NA20538" "European"
"NA20539" "European"
"NA20540" "European"
"NA20541" "European"
"NA20542" "European"
"NA20543" "European"
"NA20544" "European"
"NA20581" "European"
"NA20582" "European"
"NA20585" "European"
"NA20586" "European"
"NA20587" "European"
"NA20588" "European"
"NA20589" "European"
"NA20752" "European"
"NA20753" "European"
"NA20754" "European"
"NA20755" "European"
"NA20756" "European"
"NA20757" "European"
"NA20758" "European"
"NA20759" "European"
"NA20760" "European"
"NA20761" "European"
"NA20762" "European"
"NA20763" "European"
"NA20764" "European"
"NA20765" "European"
"NA20766" "European"
"NA20767" "European"
"NA20768" "European"
"NA20769" "European"
"NA20770" "European"
"NA20771" "European"
"NA20772" "European"
"NA20773" "European"
"NA20774" "European"
"NA20775" "European"
"NA20778" "European"
"NA20783" "European"
"NA20785" "European"
"NA20786" "European"
"NA20787" "European"
"NA20790" "European"
"NA20792" "European"
"NA20795" "European"
"NA20796" "European"
"NA20797" "European"
"NA20798" "European"
"NA20799" "European"
"NA20800" "European"
"NA20801" "European"
"NA20802" "European"
"NA20803" "European"
"NA20804" "European"
"NA20805" "European"
"NA20806" "European"
"NA20807" "European"
"NA20808" "European"
"NA20809" "European"
"NA20810" "European"
"NA20811" "European"
"NA20812" "European"
"NA20813" "European"
"NA20814" "European"
"NA20815" "European"
"NA20818" "European"
"NA20819" "European"
"NA20821" "European"
"NA20822" "European"
"NA20826" "European"
"NA20827" "European"
"NA20828" "European"
"NA20832" "European"
"NA20845" "Hispanic"
"NA20846" "Hispanic"
"NA20847" "Hispanic"
"NA20849" "Hispanic"
"NA20850" "Hispanic"
"NA20851" "Hispanic"
"NA20852" "Hispanic"
"NA20853" "Hispanic"
"NA20854" "Hispanic"
"NA20856" "Hispanic"
"NA20858" "Hispanic"
"NA20859" "Hispanic"
"NA20861" "Hispanic"
"NA20862" "Hispanic"
"NA20863" "Hispanic"
"NA20864" "Hispanic"
"NA20866" "Hispanic"
"NA20867" "Hispanic"
"NA20868" "Hispanic"
"NA20869" "Hispanic"
"NA20870" "Hispanic"
"NA20872" "Hispanic"
"NA20874" "Hispanic"
"NA20875" "Hispanic"
"NA20876" "Hispanic"
"NA20877" "Hispanic"
"NA20878" "Hispanic"
"NA20881" "Hispanic"
"NA20882" "Hispanic"
"NA20884" "Hispanic"
"NA20885" "Hispanic"
"NA20886" "Hispanic"
"NA20887" "Hispanic"
"NA20888" "Hispanic"
"NA20889" "Hispanic"
"NA20890" "Hispanic"
"NA20891" "Hispanic"
"NA20892" "Hispanic"
"NA20894" "Hispanic"
"NA20895" "Hispanic"
"NA20896" "Hispanic"
"NA20897" "Hispanic"
"NA20899" "Hispanic"
"NA20900" "Hispanic"
"NA20901" "Hispanic"
"NA20902" "Hispanic"
"NA20903" "Hispanic"
"NA20904" "Hispanic"
"NA20905" "Hispanic"
"NA20906" "Hispanic"
"NA20908" "Hispanic"
"NA20910" "Hispanic"
"NA20911" "Hispanic"
"NA21086" "Hispanic"
"NA21087" "Hispanic"
"NA21088" "Hispanic"
"NA21089" "Hispanic"
"NA21090" "Hispanic"
"NA21091" "Hispanic"
"NA21092" "Hispanic"
"NA21093" "Hispanic"
"NA21094" "Hispanic"
"NA21095" "Hispanic"
